                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.26616,                0.19741,                 1.0219,                0.99224,                      1,                  0.995,                0.89454,                0.53528,                0.26345,                  1.066,             0.00013625,             0.00013625,             0.00013625
                     92,                0.25159,                0.18869,                 1.0214,                0.99185,                      1,                  0.995,                0.91367,                0.49066,                0.24398,                 1.0629,             0.00012387,             0.00012387,             0.00012387
                     93,                0.25262,                0.18744,                 1.0178,                0.99106,                      1,                  0.995,                0.90628,                0.51382,                0.25823,                 1.0651,              0.0001115,              0.0001115,              0.0001115
                     94,                0.24958,                0.18906,                 1.0128,                0.99093,                      1,                  0.995,                0.91159,                0.51241,                0.26229,                 1.0706,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.24163,                0.18044,                 1.0172,                0.99107,                      1,                  0.995,                0.90956,                0.49672,                0.26117,                  1.077,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.24019,                0.18276,                 1.0358,                 0.9914,                      1,                  0.995,                0.90812,                0.50445,                0.26501,                 1.0705,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.23862,                0.17529,                 1.0121,                0.99173,                      1,                  0.995,                0.91507,                0.50193,                0.27105,                 1.0715,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.23352,                0.17859,                 1.0161,                0.99192,                      1,                  0.995,                0.90153,                0.50707,                0.27688,                 1.0751,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.23173,                0.17812,                  1.026,                0.99212,                      1,                  0.995,                0.90474,                0.51334,                0.27321,                 1.0745,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.23185,                0.18112,                 1.0201,                 0.9921,                      1,                  0.995,                0.90265,                 0.5111,                0.27142,                 1.0758,             2.4875e-05,             2.4875e-05,             2.4875e-05
